Date,Vs,Location,Time,Result
2016 Thu Feb 11,Grand Canyon University (club team),,noon,
2016 Thu Feb 11,Chandler Gilbert Community College,"Chandler AZ",7pm,
2016 Fri Feb 12,Grand Canyon University (club team),,3:00 PM,
2016 Sun Feb 14,Mesa Community College,"Mesa AZ",noon,
2016 Mon Feb 15,Glendale Community College,"Glendale AZ",3:00 PM,
2016 Tue Feb 16,Central Arizona Community College,"Douglas AZ",3:00 PM,
2016 Wed Feb 17,Yavapai Community College,"Prescott AZ",Noon,
2016 Wed Feb 17,Yavapai Community College,"Prescott AZ",3 pm,
2016 Thu Feb 18,Paradise Valley Community College,"Scottsdale AZ",1:00 PM,
2016 Fri Feb 19,TBA,,,
2016 Sat Feb 21,Fraser Valley Collegiate Baseball Group,"Chilliwack BC",1 pm,
2016 Sat Feb 21,Fraser Valley Collegiate Baseball Group,"Chilliwack BC",3 pm,
2016 Sun Feb 22,Fraser Valley Collegiate Baseball Group,"Chilliwack BC",11:00 AM,
2016 Sun Feb 22,Fraser Valley Collegiate Baseball Group,"Chilliwack BC",1:00 PM,
2016 Fri Mar 4,Fraser Valley Collegiate Baseball Group,"Chilliwack BC",3:00 PM,
2016 Sat Mar 5,Olympic Community College,"Bremerton WA",3:00 PM,
2016 Sat Mar 5,Olympic Community College,"Bremerton WA",5:00 PM,
2016 Sun Mar 6,Olympic Community College,"Bremerton WA",11am,
2016 Sun Mar 6,Olympic Community College,"Bremerton WA",1:00 PM,
2016 Fri Mar 11,Big Bend Community College,"Moses Lake WA",1 pm,
2016 Sat Mar 12,Big Bend Community College,"Moses Lake WA",1pm,
2016 Sat Mar 12,Big Bend Community College,"Moses Lake WA",3:00 PM,
2016 Sun Mar 13,Big Bend Community College,"Moses Lake WA",11:00 AM,
2016 Sun Mar 13,Big Bend Community College,"Moses Lake WA",1pm,
2016 Sat Mar 19,Fraser Valley Collegiate Baseball Group,Norbrock Stadium,1 pm,
2016 Sat Mar 19,Fraser Valley Collegiate Baseball Group,Norbrock Stadium,3:00 PM,
2016 Sun Mar 20,Fraser Valley Collegiate Baseball Group,Norbrock Stadium,11am,
2016 Sun Mar 20,Fraser Valley Collegiate Baseball Group,Norbrock Stadium,1:00 PM,
2016 Sat Mar 26,Okanagan College Coyotes,Norbrock Stadium,noon,
2016 Sat Mar 26,Prairie Baseball Academy Dawgs,Norbrock Stadium,6:00 PM,
2016 Sun Mar 27,Prairie Baseball Academy Dawgs,Norbrock Stadium,10am,
2016 Sun Mar 27,Okanagan College Coyotes,Norbrock Stadium,4:00 PM,
2016 Fri April 1,Fraser Valley Collegiate Baseball Group,"Chilliwack BC",1 pm,
2016 Sat April 2,Vancouver Island Baseball Institute Mariners,"Nanaimo BC",1pm,
2016 Sat April 2,Vancouver Island Baseball Institute Mariners,"Nanaimo BC",3:00 PM,
2016 Sun April 3,Vancouver Island Baseball Institute Mariners,"Nanaimo BC",11 am,
2016 Sun April 3,Vancouver Island Baseball Institute Mariners,"Nanaimo BC",1 pm,
2016 Sat April 9,Prairie Baseball Academy Dawgs,Norbrock Stadium,1 pm,
2016 Sat April 9,Prairie Baseball Academy Dawgs,Norbrock Stadium,3 pm,
2016 Sun April 10,Prairie Baseball Academy Dawgs,Norbrock Stadium,10 am,
2016 Sun April 10,Prairie Baseball Academy Dawgs,Norbrock Stadium,noon,
2016 Wed April 13,Fraser Valley Collegiate Baseball Group,Norbrock Stadium,3 pm,
2016 Wed April 13,Fraser Valley Collegiate Baseball Group,Norbrock Stadium,5 pm,
2016 Sat April 16,Prairie Baseball Academy Dawgs,"Lethbridge AB",noon,
2016 Sat April 16,University of Calgary Dinos,"Lethbridge AB",3 pm,
2016 Sun April 17,University of Calgary Dinos,"Lethbridge AB",10 am,
2016 Sun April 17,Prairie Baseball Academy Dawgs,"Lethbridge AB",1 pm,
2016 Wed April 20,Fraser Valley Collegiate Baseball Group,Norbrock Stadium,3 pm,
2016 Wed April 20,Fraser Valley Collegiate Baseball Group,Norbrock Stadium,5 pm,
2016 Sat April 23,University of Calgary Dinos,"Calgary AB",11 am,
2016 Sat April 23,Okanagan College Coyotes,"Calgary AB", 2 pm,
2016 Sun April 24,Okanagan College Coyotes,"Calgary AB",10 am,
2016 Sun April 24,University of Calgary Dinos,"Calgary AB",1 pm,
2016 Fri April 29,Single site,"Kelowna BC",TBA,
2016 Sat May 1,Single site,"Kelowna BC",TBA,
2016 Sun May 2,Single site,"Kelowna BC",TBA,
2016 Wed May 4,Fraser Valley Collegiate BaseballGroup,"Chilliwack BC",3 pm,
2016 Wed May 4,Fraser Valley Collegiate Baseball Group,"Chilliwack BC",5 pm,
2016 Sat May 7,Okanagan College Coyotes,Norbrock Stadium,noon,
2016 Sat May 7,Vancouver Island Baseball Institute Mariners,Norbrock Stadium,6 pm,
2016 Sun May 8,Vancouver Island Baseball InstituteMariners,Norbrock Stadium,10 am,
2016 Sun May 8,Okanagan College Coyotes,Norbrock Stadium,4 pm,
2016 Thu May 11,CCBC Championship,"Kelowna BC",TBA,
2016 Fri May 12,CCBC Championship,"Kelowna BC",TBA,
2016 Sat May 13,CCBC Championship,"Kelowna BC",TBA,
2016 Sun May 14,CCBC Championship,"Kelowna BC",TBA,
