Date,Vs,Location,Time,Result
*Sept 25,University of Calgary Dinos,Tournament Capital Centre,7pm,L 95-57
*Sept 26,University of Calgary Dinos,Tournament Capital Centre,7pm,W 74-73
*Oct 3,Douglas College Royals (PACWEST),Tournament Capital Centre,5pm,W 97-61
* Oct 8,NAIT Ooks (ACAC),TRU Gym,6pm,W 85-43
* Oct 16,Tournament at McGill University vs Laurier Golden Hawks,"Montreal QC",,L 60-58
*Oct 17,Tournament at McGill University vs McGill Martlets,"Montreal QC",5:00 PM,L 79-55
*Oct 18,Tournament at McGill University vs Victoria Vikes,Montreal QC,10:00 AM,L 87-81
*Oct 30,University of British Columbia Thunderbirds,"Vancouver BC",,L 75-72
*Oct 31`,University of Victoria Vikes,"Victoria BC",2:00 PM,W 74-65
6-Nov,University of Northern British Columbia Timberwolves,"Prince George BC",6:00 PM,W 69-54
7-Nov,University of Northern British Columbia Timberwolves,"Prince George BC",5:00 PM,W 85-58
13-Nov,Mount Royal University Cougars,"Calgary AB",6 pm,W 70-43
14-Nov,Mount Royal University Cougars,"Calgary AB",5 pm,W 72-62
20-Nov,MacEwan University Griffins,Tournament Capital Centre,6pm,L 85-56
21-Nov,MacEwan University Griffins,Tournament Capital Centre,5pm,L 75-60
27-Nov,University of Fraser Valley Cascades,Tournament Capital Centre,6pm,W 67-62
28-Nov,University of Fraser Valley Cascades,Tournament Capital Centre,5pm,W 80-59
*Dec 31,SAIT Trojans (ACAC),Tournament Capital Centre,1pm,
8-Jan,University of BC Okanagan Heat,"Kelowna BC",6:00 PM,
Jan 9,University of BC Okanagan Heat,"Kelowna BC",5pm,
Jan15,MacEwan University Griffins,"Edmonton AB",6:00 PM,
16-Jan,MacEwan University Griffins,"Edmonton AB",5pm,
22-Jan,Mount Royal University Cougars,Tournament Capital Centre,6pm,
Jan 23,Mount Royal University Cougars,Tournament Capital Centre,5 pm,
5-Feb,University of Northern BC Timberwolves,Tournament Capital Centre,6pm,
6-Feb,University of Northern BC Timberwolves,Tournament Capital Centre,5:00 PM,
12-Feb,University of Fraser Valley Cascades,"Abbotsford BC",6pm,
13-Feb,University of Fraser Valley Cascades,"Abbotsford BC",5:00 PM,
Feb 19,University ofBC Okanagan Heat,Tournament Capital Centre,6 pm,
20-Feb,University of BC Okanagan Heat,TournamentCaptial Centre,5pm,
Feb 26-28,CWPlay In Series,,,
Mar 4-6,CW Quarterfinals,,,
Mar 11-13,CW Final 4,,,
May 17-21,CIS Finals(hosted by UNB),"Fredricton NB",,
